code,group,minx,miny,maxx,maxy,country
NPL,1,80.06014251700014,26.34751510600006,88.20401000999999,30.447021485000164,Nepal
NRU,1,166.90953064000018,-0.5543119909999632,166.9593353280001,-0.5020650019998811,Nauru
NZL,1,-178.82695000099997,-44.356227999999874,-176.154388,-29.23166299999997,New Zealand
NZL,2,165.86819500000013,-52.62083400099988,179.06582600000002,-34.1297229999999,New Zealand
OMN,1,51.99999999900013,16.642362594000076,59.83930600000002,26.506805000000043,Oman
PAK,1,60.89943695,23.70291500000002,77.84307868100012,37.097011566000106,Pakistan
PAN,1,-83.05188698199993,7.202359000000115,-77.12928009099988,9.647361000000105,Panama
PCN,1,-130.75622599999997,-25.079885000999923,-124.77194199999995,-23.90772599999997,Pitcairn
PER,1,-81.33069610599989,-18.351804733999927,-68.65310668899991,-0.0389594099999044,Peru
PHL,1,116.92833709800016,4.586940000000141,126.60534668000014,21.07014100000009,Philippines
PLW,1,131.11985800000002,2.9713830009999924,134.72139000000004,8.094167000000027,Palau
PNG,1,140.84049987900016,-11.65537999999998,157.0377810000001,-0.7558329999999387,Papua New Guinea
POL,1,14.12288475000014,49.002044678000175,24.145782471000075,54.83641815200008,Poland
PRI,1,-67.95180499999998,17.882640999000046,-64.99986300099994,18.51597213800005,Puerto Rico
PRK,1,124.18235800000014,37.675976000000105,130.674393,43.00605011000005,"Korea, Democratic People's Republic of"
PRT,1,-31.268186568999965,30.030175999000164,-6.189142225999888,42.15431594800015,Portugal
PRY,1,-62.64651870699993,-27.60586166399997,-54.258632658999886,-19.29137039099988,Paraguay
PSE,1,34.22902679400016,31.223606110000105,35.57545471200007,32.55156707800006,"Palestine, State of"
PYF,1,-154.72729499999997,-27.90062699899994,-134.45111099999997,-7.8949289999999905,French Polynesia
QAT,1,50.73652600000008,24.470753400000035,51.64736199999999,26.184029000000123,Qatar
REU,1,55.216251373000034,-21.38986015299997,55.83736038200004,-20.87180519199996,Réunion
ROU,1,20.26353836000009,43.6193313600001,29.7198619830001,48.26559829800016,Romania
RUS,1,-179.99999999999994,64.241669,-169.652603,76.16666400000003,Russian Federation
RUS,2,19.64250200000004,41.188865663,180.0,81.85624700000005,Russian Federation
RWA,1,28.861707688000024,-2.839972733999957,30.899072648000185,-1.0474501849999456,Rwanda
SAU,1,34.494406000000026,16.379528000000107,55.6666851010001,32.15433769900011,Saudi Arabia
SDN,1,21.83894920400008,8.679119110000045,38.84930400000008,23.14514700000001,Sudan
SEN,1,-17.543185999999935,12.307859420000112,-11.3424701699999,16.69207191600009,Senegal
SGP,1,103.60905499999996,1.1663900010000248,104.08580000000006,1.471388000000104,Singapore
SGS,1,-41.815616999999975,-59.48428000099989,-26.229314999999986,-53.64688100000001,South Georgia and the South Sandwich Islands
SHN,1,-14.421111999999994,-40.37138700000003,-5.631452000000024,-7.889167999999927,"Saint Helena, Ascension and Tristan da Cunha"
SJM,1,-9.07656300000002,70.82499699999994,36.807816,82.53749800000003,Svalbard and Jan Mayen
SLB,1,155.39250200000004,-12.308333999999943,170.1925050000001,-4.445219999999949,Solomon Islands
SLE,1,-13.303506000000027,6.9176160000000095,-10.265752792999931,10.000431061000086,Sierra Leone
SLV,1,-90.12486267199996,13.152640000000076,-87.68374599999993,14.45055103300018,El Salvador
SMR,1,12.400664329000108,43.89465332100008,12.514122963000034,43.99569320600017,San Marino
SOM,1,40.97850036700015,-1.6470819999999549,51.415695000000085,11.989306450000186,Somalia
SPM,1,-56.4061126709999,46.74889000000002,-56.12643800000001,47.14500045800003,Saint Pierre and Miquelon
SRB,1,18.808521271000075,42.227615358000094,22.978982926000185,46.18939971900005,Serbia
SSD,1,24.15192985600009,3.480998993000071,35.86994934200004,12.218999864000011,South Sudan
STP,1,6.459862000000044,-0.0140269989999524,7.462638000000027,1.7015290000000505,Sao Tome and Principe
SUR,1,-58.086563110999975,1.8311460020000248,-53.97749328599997,6.015139000000033,Suriname
SVK,1,16.834175110000047,47.73274612400007,22.56791305600001,49.61380004900019,Slovakia
SVN,1,13.382119179000084,45.42828369100005,16.584312438999973,46.87821960399998,Slovenia
